title,artist,genre
Finally Home,Alex Roe,normal
Smokin' And Cryin',Alex Roe,sad
Enough,Alex Roe,sad
Main Dhoondne Ko Zamaane Mein,Sonu Nigam,sad
Abhi Mujh Mein Kahin,Arijit Singh,sad
Main Agar Kahoon,Arijit Singh,romantic
Hamdard,Arijit Singh,sad
Khairiyat,Arijit Singh,sad
Phir Bhi Tumko Chaahunga,Arijit Singh,romantic
O Bedardeya,Arijit Singh,sad
The remedy for a broken heart,xxtxtentacion,emo-rap
Everybody Dies In Their Nightmares,xxtxtentacion,emo-rap
Numb,xxtxtentacion,emo-rap
Changes,xxtxtentacion,emo-rap
Moonlight,xxtxtentacion,sad
Hope,xxtxtentacion,sad
Done For Me,Charlie Puth,hip-hop
The Way I Am,Charlie Puth,normal
See You Again,Charlie Puth,sad
We Don't Talk Anymore,Charlie Puth,hip-hop
Attention,Charlie Puth,hip-hop
In My Blood,Shawn Mendes,normal
If I Can't Have You,Shawn Mendes,normal
Treat You Better,Shawn Mendes,fun
Youth,Shawn Mendes,normal
Mercy,Shawn Mendes,hip-hop
Clash,Diljit Dosanjh,punjabi
Do You Know,Diljit Dosanjh,punjabi
Born To Shine,Diljit Dosanjh,punjabi
G.O.A.T.,Diljit Dosanjh,punjabi
Old Skool,Sidhu Moose Wala,punjabi
Goat,Sidhu Moose Wala,punjabi
So High,Sidhu Moose Wala,punjabi
295,Sidhu Moose Wala,punjabi
Jatt Da Muqabla,Sidhu Moose Wala,punjabi
Thinking Out Loud,Ed Sheeran,romantic
Perfect,Ed Sheeran,fun
Shape of You,Ed Sheeran,fun
Experience,Ludovico Einaudi,tune
The Last of Us,Gustavo Santaolalla,tune
La Espada,Eternal Raijin,tune
Loneliness,Chasing Mirrors,tune
The Banjo Beat,Ricky Desktop,tune
